지점명,일시,강수량(mm),일최다강수량(mm),일최다강수량일자,1시간최다강수량(mm),1시간최다강수량일자
서울,15-Aug,72.9,29,2015-08-16,21.5,2015-08-16
서울,15-Sep,26,18,2015-09-03,16.5,2015-09-03
서울,15-Oct,81.5,35,2015-10-01,16.5,2015-10-01
서울,15-Nov,104.6,24.5,2015-11-07,,
서울,15-Dec,29.1,13.5,2015-12-02,,
서울,16-Jan,1,0.4,2016-01-13,,
서울,16-Feb,47.6,21,2016-02-13,,
서울,16-Mar,40.5,40,2016-03-05,,
서울,16-Apr,76.8,23.5,2016-04-16,7.5,2016-04-17
서울,16-May,160.5,45,2016-05-15,12,2016-05-15
서울,16-Jun,54.4,30.5,2016-06-22,26,2016-06-22
서울,16-Jul,358.2,108.5,2016-07-01,51.5,2016-07-29
서울,16-Aug,67.1,20,2016-08-26,11.5,2016-08-19
서울,16-Sep,33,13.5,2016-09-27,4.5,2016-09-02
서울,16-Oct,74.8,37,2016-10-25,10,2016-10-25
서울,16-Nov,16.7,5.5,2016-11-07,,
서울,16-Dec,61.1,29,2016-12-21,,
서울,17-Jan,14.9,4.5,2017-01-29,,
서울,17-Feb,11.1,5.1,2017-02-22,,
서울,17-Mar,7.9,5,2017-03-01,,
서울,17-Apr,61.6,37.5,2017-04-05,8.5,2017-04-05
서울,17-May,16.1,6,2017-05-13,6,2017-05-13
서울,17-Jun,66.6,29,2017-06-26,17,2017-06-26
서울,17-Jul,621,144.5,2017-07-10,53,2017-07-03
서울,17-Aug,297,124.5,2017-08-20,35.5,2017-08-15
서울,17-Sep,35,24,2017-09-11,9,2017-09-11
서울,17-Oct,26.5,20,2017-10-11,6,2017-10-11
서울,17-Nov,40.7,24,2017-11-25,,
서울,17-Dec,34.8,20,2017-12-24,,
서울,18-Jan,8.5,3.3,2018-01-22,,
서울,18-Feb,29.6,25,2018-02-28,,
서울,18-Mar,49.5,27,2018-03-15,,
서울,18-Apr,130.3,59,2018-04-23,8.5,2018-04-23
서울,18-May,222,83,2018-05-17,35,2018-05-16
서울,18-Jun,171.5,71.5,2018-06-26,22.5,2018-06-28
서울,18-Jul,185.6,83.5,2018-07-01,25,2018-07-02
서울,18-Aug,202.6,96.5,2018-08-28,43.5,2018-08-28
서울,18-Sep,68.5,34.5,2018-09-03,20,2018-09-03
서울,18-Oct,120.5,55.5,2018-10-06,10.5,2018-10-06
서울,18-Nov,79.1,64,2018-11-08,,
서울,18-Dec,16.4,9.5,2018-12-03,,
서울,19-Jan,0,0,2019-01-28,,
서울,19-Feb,23.8,16,2019-02-03,,
서울,19-Mar,26.8,16.5,2019-03-20,,
서울,19-Apr,47.3,17.4,2019-04-09,3.8,2019-04-09
서울,19-May,37.8,22,2019-05-19,6.1,2019-05-20
서울,19-Jun,74,35.3,2019-06-07,12.1,2019-06-07
서울,19-Jul,194.4,62.3,2019-07-31,26.3,2019-07-31
서울,19-Aug,190.5,56.2,2019-08-12,29.4,2019-08-29
서울,19-Sep,139.8,63.2,2019-09-10,18.4,2019-09-05
서울,19-Oct,55.5,25.4,2019-10-07,5.6,2019-10-07
서울,19-Nov,78.8,21.1,2019-11-17,,
서울,19-Dec,22.6,9.8,2019-12-17,,
서울,20-Jan,60.5,46.3,2020-01-07,,
서울,20-Feb,53.1,16.6,2020-02-25,,
서울,20-Mar,16.3,11.8,2020-03-10,,
서울,20-Apr,16.9,10.3,2020-04-19,3.9,2020-04-17
서울,20-May,112.4,29.8,2020-05-18,19.8,2020-05-18
서울,20-Jun,139.6,64.7,2020-06-30,15.9,2020-06-30
서울,20-Jul,218.3,103.1,2020-07-23,19.3,2020-07-19
